"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"410","Marcedes Lewis","GB","7","TE57","","","","373","","","373.0"
"411","C.J. Beathard","JAC","9","QB46","","","","374","","","374.0"
"412","Tommylee Lewis","MIA","11","WR133","","","","375","","","375.0"
"413","Equanimeous St. Brown","GB","7","WR134","","","","376","","","376.0"
"414","Justin Hardy","CHI","5","WR135","","","","377","","","377.0"
"415","Teddy Bridgewater","DEN","10","QB47","","","","378","","","378.0"
"416","Justin Watson","TB","5","WR136","","","","379","","","379.0"
"417","Johnny Manziel","QB48","","","","380","","","380.0"
"418","Mike Boone","DEN","10","RB115","","","","382","","","382.0"
"419","Mark Sanchez","QB49","","","","383","","","383.0"
"420","Nathan Peterman","LV","","QB50","","","","384","","","384.0"
"421","Eddy Pineiro","NYJ","11","K31","","","","386","","","386.0"
"422","Colin Kaepernick","QB51","","","","387","","","387.0"
"423","Aaron Hernandez","TE58","","","","388","","","388.0"
"424","Mike Davis","ATL","8","RB116","","","","389","","","389.0"
"425","Shelton Gibson","CAR","4","WR137","","","","390","","","390.0"
"426","Deonte Thompson","WR138","","","","391","","","391.0"
"427","Matt Cassel","QB52","","","","394","","","394.0"
"428","DaeSean Hamilton","DEN","10","WR139","","","","396","","","396.0"
"429","Zane Gonzalez","CAR","4","K32","","","","397","","","397.0"
"430","Javon Wims","WR140","","","","398","","","398.0"
"431","Derek Watt","PIT","7","RB117","","","","399","","","399.0"
"432","Terrance West","RB118","","","","400","","","400.0"
"433","Kerwynn Williams","RB119","","","","402","","","402.0"
"434","C.J. Ham","MIN","10","RB120","","","","403","","","403.0"
"435","Bennie Fowler III","SF","11","WR141","","","","404","","","404.0"
"436","Seth Roberts","WR142","","","","405","","","405.0"
"437","Bruce Ellington","WR143","","","","407","","","407.0"
"438","Charcandrick West","RB121","","","","408","","","408.0"
"439","Mack Hollins","MIA","11","WR144","","","","409","","","409.0"
"440","Brandon Tate","WR145","","","","410","","","410.0"
"441","Dwayne Harris","WR146","","","","411","","","411.0"
"442","Jacob Hollister","JAC","9","TE59","","","","412","","","412.0"
"443","Brett Hundley","IND","9","QB53","","","","413","","","413.0"
"444","Roc Thomas","RB122","","","","415","","","415.0"
"445","Roberto Aguayo","K33","","","","416","","","416.0"
"446","Marquez Valdes-Scantling","GB","7","WR147","","","","417","","","417.0"
"447","Braxton Berrios","NYJ","11","WR148","","","","418","","","418.0"
"448","Richie James Jr.","SF","11","WR149","","","","419","","","419.0"
"449","Justin Davis","RB123","","","","420","","","420.0"
"450","Braxton Miller","WR150","","","","421","","","421.0"
"451","Amara Darboh","DEN","10","WR151","","","","423","","","423.0"
"452","TJ Jones","WR152","","","","424","","","424.0"
"453","Jason Sanders","MIA","11","K34","","","","425","","","425.0"
"454","Jeremy Kerley","WR153","","","","426","","","426.0"
"455","Chris Conley","HOU","10","WR154","","","","427","","","427.0"
"456","Niles Paul","TE60","","","","428","","","428.0"
"457","Keith Smith","ATL","8","RB124","","","","429","","","429.0"
"458","Patrick DiMarco","RB125","","","","430","","","430.0"
"459","Andy Janovich","CLE","11","RB126","","","","431","","","431.0"
"460","Joe Webb III","QB54","","","","432","","","432.0"
"461","Nick Boyle","BAL","10","TE61","","","","433","","","433.0"
"462","Chris Moore","HOU","10","WR155","","","","434","","","434.0"
"463","Jermaine Gresham","TE62","","","","435","","","435.0"
"464","Justin Hunter ","WR156","","","","436","","","436.0"
"465","Demarcus Robinson","KC","12","WR157","","","","437","","","437.0"
"466","Brandon Weeden","QB55","","","","438","","","438.0"
"467","Demetrius Harris","ARI","9 ","TE63","","","","439","","","439.0"
"468","Seth DeValve","TE64","","","","440","","","440.0"
"469","Nate Sudfeld","SF","11","QB56","","","","441","","","441.0"
"470","Lee Smith","ATL","8","TE65","","","","442","","","442.0"
"471","Lance Kendricks","TE66","","","","443","","","443.0"
"472","Eli Rogers ","WR158","","","","444","","","444.0"
"473","A.J. Derby","TE67","","","","445","","","445.0"
"474","Benny Cunningham Jr.","RB127","","","","446","","","446.0"
"475","Chad Hansen","ATL","8","WR159","","","","447","","","447.0"
"476","De'Anthony Thomas","WR160","","","","448","","","448.0"
"477","Jamize Olawale","DAL","8","RB128","","","","449","","","449.0"
"478","Chris Herndon IV","MIN","10","TE68","","","","450","","","450.0"
"479","Nick O'Leary","TE69","","","","451","","","451.0"
"480","Logan Paulsen","TE70","","","","452","","","452.0"
"481","Geno Smith","SEA","7","QB57","","","","453","","","453.0"
"482","Mason Rudolph","PIT","7","QB58","","","","454","","","454.0"
"483","Josh Hill","TE71","","","","455","","","455.0"
"484","Blaine Gabbert","TB","5","QB59","","","","456","","","456.0"
"485","Kendrick Bourne","NE","11","WR161","","","","457","","","457.0"
"486","Josh Reynolds","DET","6","WR162","","","","458","","","458.0"
""
""
